id empleado;numAula;semestre;dia;Fecha;hora ini;hora fin
8701;18;3;1;24/09/2012;14:00;15:20
2473;18;3;2;25/09/2012;14:00;15:20
2473;18;3;4;27/09/2012;14:00;15:20
8460;19;3;1;24/09/2012;14:00;15:20
8460;19;3;3;26/09/2012;14:00;15:20
2406;19;3;4;27/09/2012;14:00;15:20
8701;19;3;5;28/09/2012;14:00;15:20
9033;20;3;1;24/09/2012;14:00;15:20
9033;20;3;5;28/09/2012;14:00;15:20
3908;20;3;4;27/09/2012;14:00;15:20
8461;20;3;3;26/09/2012;14:00;15:20
7972;21;3;1;24/09/2012;14:00;15:20
7972;21;3;5;28/09/2012;14:00;15:20
9394;21;3;3;26/09/2012;14:00;15:20
6741;21;3;4;27/09/2012;14:00;15:20
3938;21;3;2;25/09/2012;14:00;15:20
9086;9;5;1;24/09/2012;14:00;15:20
7098;9;5;2;25/09/2012;14:00;15:20
7098;9;5;3;26/09/2012;14:00;15:20
3628;10;5;2;25/09/2012;14:00;15:20
7381;10;5;5;28/09/2012;14:00;15:20
2797;10;5;4;27/09/2012;14:00;15:20
7098;10;5;1;24/09/2012;14:00;15:20
7376;10;5;2;25/09/2012;14:00;15:20
8882;10;5;2;25/09/2012;14:00;15:20
8990;10;5;2;25/09/2012;14:00;15:20
6323;11;5;2;25/09/2012;14:00;15:20
6323;11;5;1;24/09/2012;14:00;15:20
6822;11;5;3;26/09/2012;14:00;15:20
6822;11;5;4;27/09/2012;14:00;15:20
8808;11;5;5;28/09/2012;14:00;15:20
3628;12;5;1;24/09/2012;14:00;15:20
7381;12;5;4;27/09/2012;14:00;15:20
8466;12;5;3;26/09/2012;14:00;15:20
2797;13;5;1;24/09/2012;14:00;15:20
2797;13;5;5;28/09/2012;14:00;15:20
9138;13;5;3;26/09/2012;14:00;15:20
6323;14;5;5;28/09/2012;14:00;15:20
3628;14;5;3;26/09/2012;14:00;15:20
7845;14;5;4;27/09/2012;14:00;15:20
9138;14;5;1;24/09/2012;14:00;15:20
3628;15;5;5;28/09/2012;14:00;15:20
7381;15;5;3;26/09/2012;14:00;15:20
7381;15;5;1;24/09/2012;14:00;15:20
9398;15;5;4;27/09/2012;14:00;15:20
6996;16;5;5;28/09/2012;14:00;15:20
8460;16;5;4;27/09/2012;14:00;15:20
8466;16;5;1;24/09/2012;14:00;15:20
8466;16;5;2;25/09/2012;14:00;15:20
7376;16;5;4;27/09/2012;14:00;15:20
8882;16;5;4;27/09/2012;14:00;15:20
6515;16;5;4;27/09/2012;14:00;15:20
6996;17;5;2;25/09/2012;14:00;15:20
6996;17;5;1;24/09/2012;14:00;15:20
3628;17;5;4;27/09/2012;14:00;15:20
8466;18;5;4;27/09/2012;14:00;15:20
8466;18;5;5;28/09/2012;14:00;15:20
7845;18;5;1;24/09/2012;14:00;15:20
7845;18;5;2;25/09/2012;14:00;15:20
6323;19;5;4;27/09/2012;14:00;15:20
6323;19;5;3;26/09/2012;14:00;15:20
9398;19;5;5;28/09/2012;14:00;15:20
7972;20;5;4;27/09/2012;14:00;15:20
6822;20;5;1;24/09/2012;14:00;15:20
6822;20;5;5;28/09/2012;14:00;15:20
9107;20;5;2;25/09/2012;14:00;15:20
7845;20;5;3;26/09/2012;14:00;15:20
7955;22;3;1;24/09/2012;14:00;15:20
7955;22;3;5;28/09/2012;14:00;15:20
7763;22;3;2;25/09/2012;14:00;15:20
7763;22;3;3;26/09/2012;14:00;15:20
8990;22;3;4;27/09/2012;14:00;15:20
648;1;3;1;01/10/2012;14:00;15:20
1346;3;3;1;01/10/2012;14:00;15:20
8882;3;3;1;01/10/2012;14:00;15:20
8951;3;3;1;01/10/2012;14:00;15:20
6881;4;3;1;01/10/2012;14:00;15:20
6741;5;3;1;01/10/2012;14:00;15:20
